FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
16059,ID,Lemhi ,7936,7998,7778,7730,7732,7752,7723
16061,ID,Lewis ,3821,3797,3839,3819,3826,3791,3853
16063,ID,Lincoln ,5208,5141,5260,5309,5313,5309,5271
16065,ID,Madison ,37536,37915,37728,37642,38060,38092,39048
16067,ID,Minidoka ,20069,20204,20113,20295,20244,20387,20616
16069,ID,Nez Perce ,39265,39437,39562,39916,39983,40146,40369
16071,ID,Oneida ,4286,4234,4233,4278,4200,4289,4343
16073,ID,Owyhee ,11526,11396,11398,11395,11294,11305,11389
16075,ID,Payette ,22623,22559,22672,22553,22775,22837,23026
16077,ID,Power ,7817,7786,7809,7732,7663,7620,7654
16079,ID,Shoshone ,12765,12689,12739,12707,12404,12455,12452
16081,ID,Teton ,10170,10174,10083,10276,10300,10568,10960
16083,ID,Twin Falls ,77230,78050,78440,79788,80927,82107,83514
16085,ID,Valley ,9862,9610,9515,9585,9808,10083,10496
16087,ID,Washington ,10198,10142,10054,9962,10019,9967,10172
17001,IL,Adams ,67103,67207,67164,66997,67031,66974,66578
17003,IL,Alexander ,8238,8018,7712,7215,7074,6776,6478
17005,IL,Bond ,17768,17675,17508,17320,17111,16924,16824
17007,IL,Boone ,54165,54168,53802,53779,53706,53490,53503
17009,IL,Brown ,6937,6871,6894,6863,6838,6821,6762
17011,IL,Bureau ,34978,34660,34350,34096,33836,33471,33359
17013,IL,Calhoun ,5089,5067,5021,5036,4963,4898,4894
17015,IL,Carroll ,15387,15221,15075,14939,14786,14628,14539
17017,IL,Cass ,13642,13634,13411,13292,13091,12869,12676
17019,IL,Champaign ,201081,202688,203937,205365,206646,207734,208419
17021,IL,Christian ,34800,34724,34520,34183,33882,33546,33309
17023,IL,Clark ,16335,16219,16301,16145,16119,15943,15938
17025,IL,Clay ,13815,13725,13717,13522,13413,13378,13300
17027,IL,Clinton ,37762,38148,38071,37879,37801,37809,37729
17029,IL,Coles ,53873,53601,53344,53046,52712,52563,52343
17031,IL,Cook ,5194675,5214682,5230016,5240283,5239254,5224823,5203499
17033,IL,Crawford ,19817,19784,19621,19495,19368,19413,19308
17035,IL,Cumberland ,11048,11080,10942,10901,10894,10857,10858
17037,IL,DeKalb ,105160,104364,104276,104148,104798,104541,104528
17039,IL,De Witt ,16561,16547,16497,16385,16243,16260,16226
17041,IL,Douglas ,19980,19828,19822,19800,19845,19753,19630
17043,IL,DuPage ,916924,924245,927668,931296,932419,931819,929368
17045,IL,Edgar ,18576,18412,18174,17943,17812,17644,17566
17047,IL,Edwards ,6721,6682,6726,6671,6622,6520,6523
17049,IL,Effingham ,34242,34284,34351,34312,34337,34396,34386
17051,IL,Fayette ,22140,22373,22130,22145,22002,22059,21789
17053,IL,Ford ,14081,13945,13982,13803,13704,13726,13575
17055,IL,Franklin ,39561,40012,39874,39574,39485,39427,39156
17057,IL,Fulton ,37069,36950,36624,36375,35951,35750,35536
17059,IL,Gallatin ,5589,5516,5419,5408,5308,5278,5212
17061,IL,Greene ,13886,13851,13631,13511,13402,13313,13093
17063,IL,Grundy ,50063,50073,50168,50177,50409,50499,50437
17065,IL,Hamilton ,8457,8422,8372,8329,8295,8198,8061
17067,IL,Hancock ,19104,19034,18893,18603,18621,18539,18508
17069,IL,Hardin ,4320,4285,4263,4249,4217,4113,4024
17071,IL,Henderson ,7331,7217,7049,6957,6985,6971,6869
17073,IL,Henry ,50486,50316,50160,49831,49673,49459,49280
17075,IL,Iroquois ,29718,29518,29300,28982,28804,28651,28334
17077,IL,Jackson ,60218,60290,58962,59593,59293,59220,58870
17079,IL,Jasper ,9698,9741,9646,9574,9615,9591,9536
17081,IL,Jefferson ,38827,38759,38666,38657,38442,38390,38460
17083,IL,Jersey ,22985,22872,22732,22620,22523,22306,22025
17085,IL,Jo Daviess ,22678,22640,22496,22332,22298,22034,21770
17087,IL,Johnson ,12582,12852,12912,12845,12834,12837,12902
17089,IL,Kane ,515269,519723,521431,523590,526636,529702,531715
17091,IL,Kankakee ,113449,113518,112976,112227,111461,110795,110008
17093,IL,Kendall ,114736,116856,118344,119709,121565,122946,124695
17095,IL,Knox ,52919,52693,52302,52149,51953,51416,50938
17097,IL,Lake ,703462,700893,701220,703411,703357,703413,703047
17099,IL,LaSalle ,113924,113671,113109,112687,111933,111304,110642
17101,IL,Lawrence ,16833,16833,16682,16745,16595,16513,16377
17103,IL,Lee ,36031,35518,35114,35008,34789,34427,34251
17105,IL,Livingston ,38950,38840,38553,37444,37116,36749,36526
17107,IL,Logan ,30305,30308,30388,29890,29755,29540,29527
17109,IL,McDonough ,32612,32485,32516,32167,31615,31342,30996
17111,IL,McHenry ,308760,307820,307529,306944,306749,307188,307004
17113,IL,McLean ,169572,170789,172560,174777,173843,172673,172418
17115,IL,Macon ,110768,110624,110083,109533,108479,107377,106550
17117,IL,Macoupin ,47765,47797,47179,46851,46381,46089,45908
17119,IL,Madison ,269282,268552,268083,267246,266637,266071,265759
17121,IL,Marion ,39437,39004,38919,38594,38486,38378,38140
17123,IL,Marshall ,12640,12492,12274,12115,11990,11980,11939
17125,IL,Mason ,14666,14479,14346,14194,13920,13689,13507
17127,IL,Massac ,15429,15325,15149,14974,14881,14752,14658
17129,IL,Menard ,12705,12729,12726,12605,12578,12454,12516
17131,IL,Mercer ,16434,16346,16190,16133,15964,15839,15730
17133,IL,Monroe ,32957,33229,33321,33547,33684,33893,34068
17135,IL,Montgomery ,30104,29841,29605,29329,29424,29196,28952
17137,IL,Morgan ,35547,35526,35365,35027,34729,34605,34277
17139,IL,Moultrie ,14846,14929,14984,14933,14911,14921,14827
17141,IL,Ogle ,53497,53150,52834,52341,52067,51657,51273
17143,IL,Peoria ,186494,186624,187121,188377,187272,186315,185006
17145,IL,Perry ,22350,22289,21862,21742,21558,21458,21357
17147,IL,Piatt ,16729,16692,16523,16444,16438,16380,16560
17149,IL,Pike ,16430,16360,16261,16105,15974,15981,15950
17151,IL,Pope ,4470,4493,4333,4338,4241,4204,4157
17153,IL,Pulaski ,6161,6002,5968,5895,5808,5672,5619
17155,IL,Putnam ,6006,5971,5880,5815,5788,5636,5611
17157,IL,Randolph ,33476,33334,32987,33122,33092,32846,32621
17159,IL,Richland ,16233,16227,16182,16097,16107,16043,15930
17161,IL,Rock Island ,147546,147411,147638,147509,146789,145958,144784
17163,IL,St. Clair ,270056,270001,268612,266807,265587,264079,262759
17165,IL,Saline ,24913,24954,24970,24863,24580,24574,24307
17167,IL,Sangamon ,197465,198905,199269,198973,198959,198496,197499
17169,IL,Schuyler ,7544,7473,7458,7362,7238,7043,6923
17171,IL,Scott ,5355,5232,5293,5208,5177,5114,5053
17173,IL,Shelby ,22363,22307,22252,22177,22109,21801,21717
17175,IL,Stark ,5994,5840,5937,5886,5836,5764,5776
17177,IL,Stephenson ,47711,47365,46938,46721,46339,45791,45624
17179,IL,Tazewell ,135394,135776,136111,136203,135567,134735,134385
17181,IL,Union ,17808,17696,17639,17577,17463,17399,17212
17183,IL,Vermilion ,81625,81380,80774,80495,79695,78990,78111
17185,IL,Wabash ,11947,11819,11722,11628,11541,11554,11492
17187,IL,Warren ,17707,17842,17736,17627,17809,17507,17378
17189,IL,Washington ,14716,14602,14618,14432,14394,14246,14154
17191,IL,Wayne ,16760,16630,16624,16608,16532,16427,16396
17193,IL,White ,14665,14596,14562,14502,14343,14349,14292
17195,IL,Whiteside ,58498,58235,57786,57446,57046,56963,56536
17197,IL,Will ,677560,680501,682091,683474,685109,686687,689529
17199,IL,Williamson ,66357,66741,66793,67387,67350,67589,67560
17201,IL,Winnebago ,295266,293620,291934,290868,288639,287168,285873
17203,IL,Woodford ,38664,38924,38943,39171,39204,39158,39140
18001,IN,Adams ,34387,34384,34439,34664,34764,34967,35232
18003,IN,Allen ,355329,358759,360753,363265,365361,368040,370404
18005,IN,Bartholomew ,76794,77626,78927,79491,80182,81011,81402
18007,IN,Benton ,8854,8861,8812,8722,8689,8674,8650
18009,IN,Blackford ,12766,12661,12535,12470,12379,12287,12149
18011,IN,Boone ,56640,57885,59070,60479,61820,63400,64653
18013,IN,Brown ,15242,15065,15051,15031,14911,14919,14912
18015,IN,Carroll ,20155,20095,20129,20110,19937,19890,19970
18017,IN,Cass ,38966,38876,38710,38504,38381,38078,37946
18019,IN,Clark ,110232,111538,111912,112746,114185,115090,116031
18021,IN,Clay ,26890,26882,26825,26734,26486,26485,26309
18023,IN,Clinton ,33224,33041,32942,32883,32610,32567,32457
18025,IN,Crawford ,10713,10606,10650,10584,10628,10510,10539
